Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points),Result
Cloud9,16,SK,10,cch,61.6,85,354,win
SK,16,Cloud9,12,inf,,85,85,win
OpTic,14,Liquid,16,cbl,55.2,151,510,loss
Liquid,16,OpTic,13,nuke,39.6,510,151,win
NiP,9,G2,16,trn,68.3,354,67,loss
Astralis,16,HellRaisers,14,mrg,69.1,1000,161,win
G2,16,NiP,10,cbl,55.7,67,354,win
HellRaisers,9,Astralis,16,ovp,55.6,161,1000,loss
Natus Vincere,16,Kinguin,5,inf,53.7,569,1000,win
Kinguin,6,Natus Vincere,16,mrg,,569,569,loss
fnatic,6,Heroic,16,cbl,65.2,197,110,loss
Heroic,11,fnatic,16,trn,49.6,110,197,loss
fnatic,16,NiP,7,trn,58,197,354,win
FaZe,16,SK,7,trn,57.5,444,354,win
Astralis,16,SK,12,trn,63.6,1000,354,win
HellRaisers,16,NiP,13,ovp,55.6,161,354,win
FaZe,13,North,16,cch,54.6,444,226,loss
Virtus.pro,2,fnatic,16,inf,47.3,72,197,loss
fnatic,13,Astralis,16,mrg,61.4,197,1000,loss
SK,8,G2,16,ovp,,197,67,loss
NiP,16,Virtus.pro,5,nuke,77.2,354,72,win
Natus Vincere,16,North,11,inf,53.7,569,226,win
Gambit,13,FaZe,16,cch,,569,444,loss
Virtus.pro,2,SK,16,mrg,60,72,444,loss
fnatic,9,Natus Vincere,16,ovp,54.8,197,569,loss
G2,16,HellRaisers,2,cbl,55.7,67,161,win
Astralis,16,North,19,inf,72.5,1000,226,loss
FaZe,16,Immortals,10,mrg,62.8,444,226,win
NiP,6,G2,16,inf,60.3,354,67,loss
Gambit,8,fnatic,16,inf,,354,197,loss
FaZe,10,HellRaisers,16,cch,54.6,444,161,loss
North,16,Immortals,3,cbl,60.9,226,161,win
G2,16,LDLC,5,inf,50.8,67,139,win
FaZe,16,fnatic,13,trn,57.5,444,197,win
LDLC,12,G2,16,nuke,55,139,67,loss
fnatic,16,FaZe,10,ovp,54.8,197,444,win
North,16,HellRaisers,10,mrg,59.3,226,161,win
HellRaisers,16,North,13,cch,60,161,226,win
Kinguin,9,Astralis,16,cch,,161,1000,loss
Astralis,16,Kinguin,7,ovp,66.7,1000,1000,win
Natus Vincere,8,NiP,16,cbl,53.6,569,354,loss
NiP,12,Natus Vincere,16,ovp,57,354,569,loss
G2,16,fnatic,5,trn,46.4,67,197,win
Cloud9,16,OpTic,6,trn,67.6,85,151,win
OpTic,11,Cloud9,16,nuke,62.1,151,85,loss
OpTic,7,SK,16,inf,59.1,151,85,loss
SK,14,OpTic,16,trn,,151,151,loss
Heroic,12,mousesports,16,cbl,53.4,110,305,loss
mousesports,4,Heroic,16,nuke,57.4,305,110,loss
HellRaisers,16,Natus Vincere,11,mrg,50,161,569,win
Natus Vincere,16,HellRaisers,5,inf,53.7,569,161,win
HellRaisers,16,Kinguin,4,cch,60,161,161,win
G2,19,Kinguin,16,cbl,55.7,67,161,win
Astralis,9,FaZe,16,nuke,76,1000,444,loss
FaZe,14,Astralis,16,inf,62.3,444,1000,loss
Kinguin,8,G2,16,cch,,444,67,loss
Heroic,10,North,16,mrg,55,110,226,loss
mousesports,11,Virtus.pro,16,nuke,57.4,305,72,loss
North,19,Heroic,16,ovp,57.8,226,110,win
Virtus.pro,16,mousesports,5,inf,47.3,72,305,win
Virtus.pro,10,HellRaisers,16,ovp,51,72,161,loss
HellRaisers,16,Virtus.pro,10,mrg,50,161,72,win
North,16,Natus Vincere,19,mrg,59.3,226,569,loss
Natus Vincere,4,North,16,cbl,53.6,569,226,loss
fnatic,14,NiP,16,inf,67.2,197,354,loss
NiP,16,fnatic,7,cch,60.1,354,197,win
G2,9,HellRaisers,16,ovp,51.8,67,161,loss
Natus Vincere,16,FaZe,6,mrg,63.3,569,444,win
HellRaisers,19,G2,15,inf,54.8,161,67,win
GODSENT,14,Gambit,16,ovp,,161,67,loss
FaZe,9,Natus Vincere,16,trn,57.5,444,569,loss
Heroic,7,Astralis,16,inf,44,110,1000,loss
fnatic,16,Natus Vincere,12,mrg,61.4,197,569,win
Astralis,16,Heroic,10,nuke,76,1000,110,win
Natus Vincere,16,fnatic,7,trn,64.8,569,197,win
Kinguin,14,NiP,16,trn,,569,354,loss
Astralis,16,North,11,nuke,76,1000,226,win
NiP,16,Kinguin,12,cch,60.1,354,226,win
North,16,Astralis,4,ovp,57.8,226,1000,win
HellRaisers,16,Heroic,6,trn,49,161,110,win
Virtus.pro,16,fnatic,5,mrg,60,72,197,win
Heroic,16,HellRaisers,12,mrg,55,110,161,win
fnatic,16,Virtus.pro,2,trn,58,197,72,win
NiP,9,FaZe,16,ovp,57,354,444,loss
mousesports,16,North,5,inf,48.8,305,226,win
North,8,mousesports,16,mrg,59.3,226,305,loss
FaZe,16,NiP,9,nuke,62.8,444,354,win
Astralis,15,Virtus.pro,19,nuke,76,1000,72,loss
Virtus.pro,16,Astralis,8,inf,47.3,72,1000,win
North,16,G2,10,inf,57,226,67,win
G2,13,North,16,nuke,61.2,67,226,loss
Cloud9,8,Immortals,16,cbl,64.4,85,226,loss
Immortals,9,Cloud9,16,trn,,85,85,loss
G2,13,Heroic,16,ovp,51.8,67,110,loss
Heroic,13,G2,16,trn,49.6,110,67,loss
Heroic,16,Virtus.pro,14,nuke,66.3,110,72,win
Cloud9,6,Natus Vincere,16,mrg,62.4,85,569,loss
North,8,SK,16,cbl,60.9,226,569,loss
Cloud9,12,North,16,cbl,64.4,85,226,loss
Natus Vincere,12,Heroic,16,ovp,64.3,569,110,loss
SK,14,Virtus.pro,16,inf,,569,72,loss
Natus Vincere,12,North,16,cbl,53.6,569,226,loss
Cloud9,4,Virtus.pro,16,mrg,62.4,85,72,loss
SK,16,Heroic,5,mrg,,85,110,win
North,16,Virtus.pro,13,cbl,60.9,226,72,win
Cloud9,16,Heroic,7,cbl,64.4,85,110,win
North,17,Heroic,19,nuke,58.3,226,110,loss
Natus Vincere,16,SK,12,ovp,64.3,569,110,win
Cloud9,16,SK,9,nuke,52.9,85,110,win
Natus Vincere,16,Virtus.pro,9,trn,64.8,569,72,win
OpTic,13,NiP,16,inf,59.1,151,354,loss
FaZe,8,Astralis,16,trn,57.5,444,1000,loss
OpTic,12,FaZe,16,trn,52.1,151,444,loss
Astralis,19,fnatic,17,inf,72.5,1000,197,win
NiP,6,FaZe,16,cch,60.1,354,444,loss
OpTic,10,fnatic,16,trn,52.1,151,197,loss
NiP,24,Astralis,28,ovp,57,354,1000,loss
FaZe,16,fnatic,11,trn,57.5,444,197,win
OpTic,12,Astralis,16,trn,52.1,151,1000,loss
NiP,14,fnatic,16,cch,60.1,354,197,loss
Kinguin,14,mousesports,16,cbl,,354,305,loss
mousesports,16,Kinguin,5,nuke,57.4,305,305,win
OpTic,16,Immortals,5,ovp,59.3,151,305,win
Immortals,16,OpTic,6,cbl,,151,151,win
fnatic,16,G2,14,cbl,65.2,197,67,win
GODSENT,13,FlipSid3,16,cch,,197,67,loss
FaZe,10,mousesports,16,mrg,62.8,444,305,loss
SK,16,Cloud9,6,ovp,,444,85,win
Virtus.pro,10,Gambit,16,cbl,57.3,72,85,loss
Astralis,16,OpTic,9,nuke,76,1000,151,win
Natus Vincere,12,mousesports,16,cbl,53.6,569,305,loss
NiP,14,Cloud9,16,ovp,57,354,85,loss
fnatic,8,Gambit,16,inf,67.2,197,85,loss
North,11,OpTic,16,inf,57,226,151,loss
Gambit,16,FlipSid3,2,d2,,226,151,win
Kinguin,9,Virtus.pro,16,cbl,,226,72,loss
Gambit,19,Space Soldiers,15,nuke,,226,72,win
Virtus.pro,15,Kinguin,19,ovp,51,72,72,loss
fnatic,12,North,16,ovp,54.8,197,226,loss
North,16,fnatic,5,mrg,59.3,226,197,win
mousesports,16,NiP,10,trn,54.6,305,354,win
Virtus.pro,16,Natus Vincere,8,cbl,57.3,72,569,win
FlipSid3,16,Space Soldiers,12,nuke,,72,569,win
Natus Vincere,16,Virtus.pro,10,trn,64.8,569,72,win
NiP,8,mousesports,16,d2,67.8,354,305,loss
SK,16,Immortals,7,cbl,,354,305,win
Immortals,11,SK,16,cch,,354,305,loss
mousesports,11,Astralis,16,nuke,57.4,305,1000,loss
Kinguin,16,FaZe,8,d2,,305,444,win
Astralis,8,mousesports,16,mrg,69.1,1000,305,loss
FaZe,6,Kinguin,16,ovp,61.2,444,305,loss
Astralis,16,Natus Vincere,4,nuke,76,1000,569,win
Natus Vincere,16,Astralis,11,ovp,64.3,569,1000,win
Liquid,3,Astralis,16,mrg,56.7,510,1000,loss
FaZe,16,Envy,11,nuke,62.8,444,1000,win
North,19,GODSENT,17,ovp,57.8,226,1000,win
Gambit,16,FaZe,14,ovp,,226,444,win
SK,19,Astralis,17,d2,,226,1000,win
GODSENT,16,OpTic,8,cch,,226,151,win
mousesports,4,Liquid,16,nuke,57.4,305,510,loss
Envy,11,fnatic,16,cbl,,305,197,loss
North,16,G2,9,ovp,57.8,226,67,win
FlipSid3,13,OpTic,16,trn,,226,151,loss
Liquid,18,FaZe,22,nuke,39.6,510,444,loss
SK,3,Natus Vincere,16,d2,,510,569,loss
Astralis,16,G2,5,trn,63.6,1000,67,win
Gambit,10,Virtus.pro,16,trn,,1000,72,loss
North,19,HellRaisers,15,mrg,59.3,226,161,win
GODSENT,3,Envy,16,cch,,226,161,loss
fnatic,16,mousesports,11,d2,57.5,197,305,win
Virtus.pro,16,G2,14,nuke,58.8,72,67,win
GODSENT,9,Gambit,16,ovp,,72,67,loss
OpTic,12,Astralis,16,trn,52.1,151,1000,loss
North,13,fnatic,16,cbl,60.9,226,197,loss
FlipSid3,14,Liquid,16,ovp,,226,510,loss
FaZe,17,SK,19,mrg,62.8,444,510,loss
Natus Vincere,16,Envy,6,cbl,53.6,569,510,win
mousesports,16,HellRaisers,7,cch,60.5,305,161,win
FlipSid3,9,FaZe,16,nuke,,305,444,loss
Astralis,6,GODSENT,16,trn,63.6,1000,444,loss
Liquid,21,Envy,25,cch,66.9,510,444,loss
Natus Vincere,16,mousesports,3,cbl,53.6,569,305,win
Virtus.pro,16,OpTic,13,cbl,57.3,72,151,win
SK,16,HellRaisers,7,mrg,,72,161,win
fnatic,10,G2,16,cch,62.6,197,67,loss
Gambit,16,North,8,cbl,,197,226,win
Cloud9,13,HellRaisers,16,ovp,57,85,161,loss
Immortals,17,G2,19,cch,,85,67,loss
mousesports,16,Immortals,3,cch,60.5,305,67,win
Dignitas,16,G2,9,nuke,,305,67,win
OpTic,16,HellRaisers,10,trn,52.1,151,161,win
FaZe,16,Immortals,11,mrg,62.8,444,161,win
NiP,9,OpTic,16,ovp,57,354,151,loss
Cloud9,16,Renegades,9,mrg,62.4,85,105,win
GODSENT,16,HellRaisers,11,trn,,85,161,win
FaZe,16,OpTic,11,ovp,61.2,444,151,win
GODSENT,16,Dignitas,11,mrg,,444,151,win
G2,16,Envy,12,d2,59.8,67,151,win
NiP,17,HellRaisers,19,ovp,57,354,161,loss
G2,11,GODSENT,16,ovp,51.8,67,161,loss
mousesports,6,HellRaisers,16,trn,54.6,305,161,loss
NiP,16,Renegades,9,d2,67.8,354,105,win
FaZe,19,Cloud9,17,mrg,62.8,444,85,win
Envy,11,Immortals,16,cbl,,444,85,loss
Dignitas,3,Envy,16,nuke,,444,85,loss
Immortals,19,Envy,22,cch,,444,85,loss
SK,7,Dignitas,16,ovp,,444,85,loss
Astralis,16,FaZe,3,d2,65.6,1000,444,win
FaZe,16,Cloud9,6,mrg,62.8,444,85,win
Astralis,16,OpTic,7,d2,65.6,1000,151,win
mousesports,16,NiP,7,d2,55,305,354,win
NiP,16,mousesports,9,trn,68.3,354,305,win
Envy,13,NiP,16,cch,,354,354,loss
NiP,12,Envy,16,nuke,77.2,354,354,loss
GODSENT,7,Astralis,16,mrg,,354,1000,loss
Astralis,16,GODSENT,3,d2,65.6,1000,1000,win
GODSENT,16,FaZe,7,mrg,,1000,444,win
FaZe,16,GODSENT,8,d2,54.3,444,444,win
Astralis,16,G2,2,ovp,66.7,1000,67,win
G2,17,Astralis,19,ovp,51.8,67,1000,loss
Dignitas,11,mousesports,16,cbl,,67,305,loss
mousesports,16,Dignitas,9,mrg,61.8,305,305,win
fnatic,9,G2,16,d2,57.5,197,67,loss
G2,16,fnatic,9,ovp,51.8,67,197,win
NiP,16,G2,9,nuke,77.2,354,67,win
G2,16,NiP,4,cch,55.9,67,354,win
NiP,11,Astralis,16,cch,60.1,354,1000,loss
Astralis,16,NiP,9,ovp,66.7,1000,354,win
Dignitas,16,G2,6,nuke,,1000,67,win
G2,14,Dignitas,16,nuke,61.2,67,67,loss
Virtus.pro,11,Astralis,16,nuke,58.8,72,1000,loss
Astralis,16,Virtus.pro,4,trn,63.6,1000,72,win
OpTic,10,Gambit,16,cbl,55.2,151,72,loss
mousesports,10,G2,16,d2,55,305,67,loss
G2,12,mousesports,16,d2,59.8,67,305,loss
mousesports,14,Envy,16,d2,55,305,305,loss
Envy,16,mousesports,14,cch,,305,305,win
FaZe,11,NiP,16,trn,57.5,444,354,loss
NiP,4,FaZe,16,cch,60.1,354,444,loss
FaZe,16,G2,2,ovp,61.2,444,67,win
G2,20,FaZe,22,cch,55.9,67,444,loss
Virtus.pro,16,Envy,14,mrg,60,72,444,win
Envy,16,Virtus.pro,5,cbl,,72,72,win
Astralis,19,fnatic,15,trn,63.6,1000,197,win
fnatic,8,Astralis,16,d2,57.5,197,1000,loss
Virtus.pro,2,G2,16,trn,52.1,72,67,loss
G2,16,Virtus.pro,7,ovp,51.8,67,72,win
GODSENT,11,Virtus.pro,16,mrg,,67,72,loss
Virtus.pro,5,GODSENT,16,ovp,51,72,72,loss
fnatic,3,Dignitas,16,ovp,54.8,197,72,loss
Envy,12,Dignitas,16,cbl,,197,72,loss
fnatic,19,OpTic,17,cch,62.6,197,151,win
Heroic,12,Cloud9,16,mrg,55,110,85,loss
SK,16,NiP,9,cbl,,110,354,win
mousesports,7,FaZe,16,trn,54.6,305,444,loss
FaZe,16,SK,11,nuke,62.8,444,444,win
Cloud9,16,mousesports,10,cbl,64.4,85,305,win
Heroic,8,NiP,16,nuke,66.3,110,354,loss
Cloud9,10,SK,16,d2,64.6,85,354,loss
Heroic,16,mousesports,11,cbl,53.4,110,305,win
FaZe,16,NiP,5,ovp,61.2,444,354,win
Cloud9,14,NiP,16,trn,67.6,85,354,loss
mousesports,10,SK,16,d2,55,305,354,loss
Heroic,3,FaZe,16,trn,49.6,110,444,loss
mousesports,8,NiP,16,ovp,52.8,305,354,loss
Heroic,16,SK,13,cbl,53.4,110,354,win
Cloud9,17,FaZe,19,mrg,62.4,85,444,loss
Liquid,17,G2,19,nuke,39.6,510,67,loss
Natus Vincere,15,Immortals,19,mrg,63.3,569,67,loss
Astralis,16,TYLOO,9,mrg,69.1,1000,99,win
Immortals,15,Astralis,19,d2,,1000,1000,loss
TYLOO,6,Liquid,16,mrg,75.4,99,510,loss
Natus Vincere,16,G2,10,ovp,64.3,569,67,win
Immortals,16,Liquid,14,cch,,569,510,win
Natus Vincere,9,Astralis,16,trn,64.8,569,1000,loss
TYLOO,3,G2,16,ovp,65.8,99,67,loss
Astralis,16,Liquid,1,trn,63.6,1000,510,win
Immortals,16,G2,4,cbl,,1000,67,win
Natus Vincere,16,TYLOO,14,ovp,64.3,569,99,win
Astralis,12,G2,16,nuke,76,1000,67,loss
Immortals,19,TYLOO,17,mrg,,1000,99,win
Natus Vincere,6,Liquid,16,nuke,46.7,569,510,loss
GODSENT,16,fnatic,11,trn,,569,197,win
fnatic,6,GODSENT,16,trn,58,197,197,loss
OpTic,4,Cloud9,16,trn,52.1,151,85,loss
Cloud9,16,OpTic,11,trn,67.6,85,151,win
Virtus.pro,16,mousesports,8,cbl,57.3,72,305,win
mousesports,9,Virtus.pro,16,mrg,61.8,305,72,loss
Cloud9,16,TYLOO,0,d2,64.6,85,99,win
Immortals,19,FaZe,17,cch,,85,444,win
Cloud9,16,FlipSid3,4,ovp,57,85,444,win
SK,13,Astralis,16,ovp,,85,1000,loss
Natus Vincere,10,SK,16,trn,64.8,569,1000,loss
Envy,16,OpTic,8,nuke,,569,151,win
Envy,16,G2,9,nuke,,569,67,win
Dignitas,16,GODSENT,7,mrg,,569,67,win
GODSENT,9,Dignitas,16,cbl,,569,67,loss
GODSENT,16,mousesports,11,mrg,,569,305,win
mousesports,16,GODSENT,11,d2,55,305,305,win
mousesports,11,FaZe,16,d2,55,305,444,loss
FaZe,14,mousesports,16,ovp,61.2,444,305,loss
G2,16,Envy,9,cch,55.9,67,305,win
Virtus.pro,16,NiP,12,cbl,57.3,72,354,win
NiP,16,Virtus.pro,14,ovp,57,354,72,win
GODSENT,20,NiP,22,d2,,354,354,loss
NiP,16,GODSENT,5,cbl,57.8,354,354,win
Dignitas,9,NiP,16,cbl,,354,354,loss
NiP,13,Dignitas,16,d2,67.8,354,354,loss
FaZe,7,fnatic,16,mrg,62.8,444,197,loss
fnatic,16,FaZe,13,trn,58,197,444,win
Dignitas,17,fnatic,19,ovp,,197,197,loss
fnatic,19,Dignitas,16,d2,57.5,197,197,win
FaZe,16,Astralis,9,mrg,62.8,444,1000,win
Astralis,16,FaZe,13,ovp,66.7,1000,444,win
SK,16,Cloud9,7,trn,,1000,85,win
Cloud9,11,SK,16,trn,67.6,85,85,loss
SK,16,OpTic,8,trn,,85,151,win
OpTic,16,SK,13,cbl,55.2,151,151,win
Envy,11,FaZe,16,cch,,151,444,loss
FaZe,7,Envy,16,mrg,62.8,444,444,loss
Dignitas,16,Astralis,2,ovp,,444,1000,win
Astralis,12,Dignitas,16,ovp,66.7,1000,1000,loss
Virtus.pro,16,NiP,7,cbl,57.3,72,354,win
NiP,16,G2,5,ovp,57,354,67,win
mousesports,12,Astralis,16,mrg,61.8,305,1000,loss
Astralis,16,mousesports,4,mrg,69.1,1000,305,win
Envy,16,Astralis,8,d2,,1000,1000,win
Astralis,4,Envy,16,nuke,76,1000,1000,loss
OpTic,16,Liquid,13,cbl,55.2,151,510,win
Liquid,16,OpTic,14,nuke,39.6,510,151,win
Cloud9,16,Dignitas,13,mrg,62.4,85,151,win
NiP,16,FaZe,7,ovp,57,354,444,win
NiP,9,Cloud9,16,d2,67.8,354,85,loss
SK,16,Dignitas,7,cbl,,354,85,win
mousesports,16,Envy,9,cch,60.5,305,85,win
Immortals,14,Liquid,16,mrg,,305,510,loss
OpTic,5,Envy,16,cbl,55.2,151,510,loss
Immortals,16,mousesports,14,mrg,,151,305,win
SK,16,Cloud9,6,d2,,151,85,win
FaZe,16,Dignitas,7,mrg,62.8,444,85,win
SK,16,FaZe,2,ovp,,444,444,win
mousesports,16,OpTic,10,cch,60.5,305,151,win
Envy,16,Liquid,4,d2,,305,510,win
Immortals,4,OpTic,16,cbl,,305,151,loss
NiP,14,Dignitas,16,nuke,77.2,354,151,loss
SK,10,NiP,16,cbl,,354,354,loss
Cloud9,16,FaZe,14,d2,64.6,85,444,win
mousesports,16,Liquid,12,mrg,61.8,305,510,win
Immortals,5,Envy,16,cbl,,305,510,loss
OpTic,16,Liquid,2,trn,52.1,151,510,win
mousesports,19,Cloud9,16,d2,55,305,85,win
Cloud9,16,FaZe,7,trn,67.6,85,444,win
mousesports,16,Immortals,9,mrg,61.8,305,444,win
fnatic,16,Virtus.pro,13,mrg,61.4,197,72,win
Virtus.pro,16,fnatic,11,cbl,57.3,72,197,win
NiP,3,Natus Vincere,16,ovp,57,354,569,loss
Natus Vincere,11,NiP,16,nuke,46.7,569,354,loss
Dignitas,12,G2,16,ovp,,569,67,loss
G2,14,Dignitas,16,d2,59.8,67,67,loss
fnatic,16,SK,5,mrg,61.4,197,67,win
SK,16,fnatic,9,trn,,197,197,win
G2,16,Natus Vincere,11,cbl,55.7,67,569,win
Natus Vincere,16,G2,9,trn,64.8,569,67,win
Dignitas,16,NiP,12,nuke,,569,354,win
NiP,16,Dignitas,12,cbl,57.8,354,354,win
NiP,9,G2,16,cch,60.1,354,67,loss
G2,11,NiP,16,cbl,55.7,67,354,loss
Dignitas,9,Natus Vincere,16,nuke,,67,569,loss
Natus Vincere,6,Dignitas,16,mrg,63.3,569,569,loss
SK,12,Virtus.pro,16,cbl,,569,72,loss
Virtus.pro,16,SK,9,mrg,60,72,72,win
Immortals,16,Liquid,2,cbl,,72,510,win
Liquid,1,Immortals,16,trn,56.1,510,510,loss
GODSENT,16,Envy,5,mrg,,510,510,win
Envy,11,GODSENT,16,cch,,510,510,loss
Virtus.pro,12,FaZe,16,ovp,51,72,444,loss
FaZe,16,Virtus.pro,6,trn,57.5,444,72,win
Envy,16,fnatic,4,cbl,,444,197,win
fnatic,5,Envy,16,d2,57.5,197,197,loss
Dignitas,14,Envy,16,mrg,,197,197,loss
Envy,7,Dignitas,16,cbl,,197,197,loss
Virtus.pro,7,fnatic,16,cbl,57.3,72,197,loss
fnatic,12,Virtus.pro,16,cch,62.6,197,72,loss
Virtus.pro,12,G2,16,cch,52.2,72,67,loss
Envy,16,Dignitas,9,cbl,,72,67,win
mousesports,16,Astralis,2,trn,54.6,305,1000,win
FlipSid3,16,FaZe,7,mrg,,305,444,win
Heroic,7,Natus Vincere,16,ovp,53.9,110,569,loss
Astralis,16,mousesports,10,mrg,69.1,1000,305,win
G2,16,Virtus.pro,19,trn,46.4,67,72,loss
FaZe,16,FlipSid3,14,trn,57.5,444,72,win
Dignitas,12,Envy,16,d2,,444,72,loss
Natus Vincere,4,Heroic,16,cbl,53.6,569,110,loss
SK,16,Liquid,9,trn,,569,510,win
Liquid,16,SK,9,d2,50.5,510,510,win
Natus Vincere,15,FaZe,19,d2,58.2,569,444,loss
FaZe,25,Natus Vincere,23,mrg,62.8,444,569,win
Heroic,16,Envy,10,cbl,53.4,110,569,win
FlipSid3,9,fnatic,16,trn,,110,197,loss
GODSENT,10,G2,16,trn,,110,67,loss
Envy,16,Heroic,7,nuke,,110,110,win
fnatic,16,FlipSid3,2,cbl,65.2,197,110,win
G2,9,GODSENT,16,ovp,51.8,67,110,loss
Envy,10,Natus Vincere,16,mrg,,67,569,loss
Dignitas,8,Virtus.pro,16,cbl,,67,72,loss
Natus Vincere,17,Envy,19,cbl,53.6,569,72,loss
Virtus.pro,16,Dignitas,5,cbl,57.3,72,72,win
OpTic,15,SK,19,trn,52.1,151,72,loss
SK,16,OpTic,8,cbl,,151,151,win
G2,16,Astralis,14,d2,59.8,67,1000,win
Dignitas,10,FaZe,16,ovp,,67,444,loss
Astralis,4,G2,16,d2,65.6,1000,67,loss
FaZe,16,Dignitas,14,mrg,62.8,444,67,win
Heroic,12,fnatic,16,trn,49.6,110,197,loss
fnatic,16,Heroic,14,cbl,65.2,197,110,win
mousesports,16,FlipSid3,9,cbl,51.1,305,110,win
FlipSid3,4,mousesports,16,mrg,,305,305,loss
Immortals,9,SK,16,ovp,,305,305,loss
SK,16,Immortals,12,trn,,305,305,win
NiP,11,fnatic,16,ovp,57,354,197,loss
fnatic,16,NiP,7,cch,62.6,197,354,win
mousesports,16,fnatic,8,ovp,52.8,305,197,win
fnatic,13,mousesports,16,d2,57.5,197,305,loss
Immortals,8,Cloud9,16,ovp,,197,85,loss
Cloud9,28,Immortals,24,mrg,62.4,85,85,win
Liquid,14,Cloud9,16,d2,50.5,510,85,loss
Cloud9,14,Liquid,16,trn,67.6,85,510,loss
Immortals,19,OpTic,15,ovp,,85,151,win
OpTic,16,Immortals,11,trn,52.1,151,151,win
Astralis,14,Envy,16,d2,65.6,1000,151,loss
Immortals,16,Liquid,12,mrg,,1000,510,win
Liquid,16,Immortals,12,trn,56.1,510,510,win
Dignitas,16,Natus Vincere,4,mrg,,510,569,win
mousesports,16,Heroic,4,ovp,52.8,305,110,win
Natus Vincere,8,Dignitas,16,cbl,53.6,569,110,loss
Heroic,14,mousesports,16,mrg,55,110,305,loss
fnatic,16,Envy,8,d2,57.5,197,305,win
FlipSid3,7,NiP,16,nuke,,197,354,loss
Envy,16,fnatic,14,cbl,,197,197,win
NiP,16,FlipSid3,1,ovp,57,354,197,win
mousesports,25,Virtus.pro,28,cbl,51.1,305,72,loss
fnatic,16,NiP,9,cch,62.6,197,354,win
NiP,14,fnatic,16,d2,67.8,354,197,loss
Virtus.pro,8,mousesports,16,mrg,60,72,305,loss
FlipSid3,9,Heroic,16,ovp,,72,110,loss
Heroic,7,FlipSid3,16,trn,49.6,110,110,loss
OpTic,14,Virtus.pro,16,cbl,55.2,151,72,loss
SK,16,Virtus.pro,8,trn,,151,72,win
Astralis,12,OpTic,16,ovp,66.7,1000,151,loss
Natus Vincere,16,SK,6,mrg,63.3,569,151,win
OpTic,16,G2,7,cch,57.6,151,67,win
Liquid,8,Virtus.pro,16,mrg,56.7,510,72,loss
SK,16,Astralis,13,ovp,,510,1000,win
Virtus.pro,9,Natus Vincere,16,trn,52.1,72,569,loss
G2,7,Liquid,16,trn,46.4,67,510,loss
Natus Vincere,16,Liquid,9,mrg,63.3,569,510,win
SK,16,OpTic,10,trn,,569,151,win
G2,13,Astralis,16,d2,59.8,67,1000,loss
Dignitas,16,Heroic,12,nuke,,67,110,win
Heroic,3,Dignitas,16,nuke,66.3,110,110,loss
Astralis,14,Virtus.pro,16,mrg,69.1,1000,72,loss
Virtus.pro,16,Astralis,14,nuke,58.8,72,1000,win
Astralis,16,Dignitas,6,cch,58.5,1000,1000,win
Dignitas,10,Astralis,16,mrg,,1000,1000,loss
Virtus.pro,16,FlipSid3,5,trn,52.1,72,1000,win
FlipSid3,16,Virtus.pro,5,cbl,,72,72,win
FaZe,19,Dignitas,17,ovp,61.2,444,72,win
Dignitas,4,FaZe,16,cch,,444,444,loss
Envy,10,Virtus.pro,16,mrg,,444,72,loss
Immortals,16,SK,4,mrg,,444,72,win
SK,11,Immortals,16,ovp,,444,72,loss
Virtus.pro,9,Natus Vincere,16,trn,52.1,72,569,loss
Natus Vincere,3,Virtus.pro,16,cbl,53.6,569,72,loss
SK,16,Echo Fox,11,d2,,569,72,win
Echo Fox,12,SK,16,ovp,,569,72,loss
Echo Fox,11,OpTic,16,trn,,569,151,loss
OpTic,16,Echo Fox,5,d2,42.5,151,151,win
Heroic,16,G2,12,trn,49.6,110,67,win
G2,19,Heroic,16,ovp,51.8,67,110,win
FlipSid3,5,Envy,16,cbl,,67,110,loss
Envy,16,FlipSid3,4,nuke,,67,110,win
Echo Fox,8,Cloud9,16,d2,,67,85,loss
Cloud9,12,Echo Fox,16,d2,64.6,85,85,loss
NiP,16,G2,5,ovp,57,354,67,win
G2,10,NiP,16,mrg,46.8,67,354,loss
Natus Vincere,13,mousesports,16,d2,58.2,569,305,loss
mousesports,8,Natus Vincere,16,ovp,52.8,305,569,loss
Cloud9,16,FaZe,8,trn,67.6,85,444,win
Virtus.pro,16,Heroic,6,trn,52.1,72,110,win
Dignitas,11,FaZe,16,d2,,72,444,loss
Heroic,34,Envy,31,mrg,55,110,444,win
Cloud9,16,FlipSid3,4,trn,67.6,85,444,win
Virtus.pro,16,Gambit,12,cbl,57.3,72,444,win
Natus Vincere,11,NiP,16,d2,58.2,569,354,loss
NiP,8,Natus Vincere,16,ovp,57,354,569,loss
Envy,9,mousesports,16,mrg,,354,305,loss
mousesports,16,Envy,9,d2,55,305,305,win
Astralis,16,NiP,7,ovp,66.7,1000,354,win
NiP,16,Astralis,14,d2,67.8,354,1000,win
Immortals,12,OpTic,16,cch,,354,151,loss
OpTic,13,Immortals,16,cbl,55.2,151,151,loss
Dignitas,16,G2,14,d2,,151,67,win
G2,16,Dignitas,13,cbl,55.7,67,67,win
mousesports,16,FaZe,3,mrg,61.8,305,444,win
FaZe,6,mousesports,16,d2,54.3,444,305,loss
Envy,16,Virtus.pro,8,cbl,,444,72,win
